polygon_id;coordinates
geoJsonData1;74.35153726989364,31.58215132159532@74.35160017730564,31.581784651067153@74.3517028157134,31.581801574354472@74.3517028157134,31.581826959278487@74.35197099994096,31.58184952365042@74.35198093268991,31.581807215449345@74.35243452823713,31.581860805833927@74.35237162082515,31.5822274760625@74.35218620950747,31.582213373388413@74.35216303309124,31.582275425140153@74.35198424360621,31.582258501938824@74.35197099994096,31.58221055285331@74.35153726989364,31.58215132159532
geoJsonData2;74.37510103046611,31.592582544991814@74.37510103046611,31.59117972230672@74.37810307533957,31.59117972230672@74.37810307533957,31.592582544991814@74.37510103046611,31.592582544991814
geoJsonData3;74.35159124897135,31.582066440862604@74.3516156812907,31.581886055551152@74.35198488076713,31.581929995594777@74.35199302487308,31.581904556625076@74.3523595096475,31.581939246128172@74.35233236262778,31.582121943965205@74.3519658778533,31.582080316640983@74.35195230434181,31.582108068192298@74.35159124897135,31.582066440862604
polygon_xepdavy4;74.35072856445063,31.581338044996315@74.350672642229,31.581330898995645@74.35070619556271,31.58106887858655@74.35076771000456,31.58106887858655@74.35077050611562,31.581035530481756@74.35093827278047,31.581049822528527@74.35093547666949,31.581087934641374@74.35113120444262,31.581106990692348@74.35113959277729,31.58105220453598@74.35154782499129,31.581097462666975@74.35154223276925,31.58115463080155@74.35166246554553,31.581168922830088@74.35165407721254,31.58120465289072@74.35162611610087,31.581207034894234@74.3515953588799,31.581419032967673@74.35156739776824,31.581430942957184@74.35155621332427,31.58148572889091@74.35143877666073,31.58147620090429@74.35142479610408,31.5815309868114@74.35113120444262,31.581495256875854@74.35112840833165,31.581461908923615@74.3507201761177,31.581407122975875@74.35072856445063,31.581338044996315
polygon_zkxxqljx;74.35077609833925,31.581318988992606@74.35080685556022,31.581137956766327@74.35119551499724,31.581178450847418@74.35120390333023,31.58115701280633@74.35153943665827,31.58120227088719@74.3515114755483,31.581383302988513@74.35116196166527,31.5813451909964@74.3511591655543,31.581364246994767@74.35077609833925,31.581318988992606
polygon_d0i8w0gv;74.35170161109949,31.58139997698055@74.35172677610015,31.58122370891708@74.35207628998148,31.581259438956764@74.35207628998148,31.5812832589758@74.3524453766415,31.58133328099592@74.35242300775352,31.58150954885214@74.35205392109353,31.581469054914237@74.35205951331551,31.58144523494265@74.35170161109949,31.58139997698055
polygon_3a7diy1l;74.3517223665296,31.581511930848933@74.35164687153099,31.58149763887299@74.35166364819696,31.58143332495601@74.351638483198,31.581428560960475@74.3516916093069,31.581111754705304@74.35217533652121,31.581176068844215@74.3521669481882,31.581216562908708@74.35234310318438,31.58123800093611@74.35234310318438,31.581211798902103@74.35254442318126,31.581240382938745@74.35247452040463,31.58161197461618@74.35201595819106,31.58155242476748@74.351999181525,31.581590536674838@74.35171397819656,31.581557188756676@74.3517223665296,31.581511930848933
polygon_51xet6xd;74.3507744839678,31.582038350219335@74.35062349397057,31.58201929435954@74.35067941619221,31.58163817633678@74.35124702673806,31.581707254093928@74.35125821118203,31.58164532231389@74.35141479340126,31.581669142234304@74.35140640506827,31.581745365937948@74.3515238417335,31.581769185832812@74.35146232728985,31.582140775401882@74.3509813961866,31.58208360787218@74.35097021174258,31.58210980966105@74.35076889174579,31.58208837183423@74.3507744839678,31.582038350219335
polygon_stc3p4aj;74.35068221230321,31.581928778970138@74.3507045811912,31.581757275885764@74.35109044451886,31.58180015168682@74.3510932406299,31.581821589579206@74.3514455506222,31.581862083363973@74.35142318173425,31.582031204272383@74.3510708717402,31.581997856511933@74.35107366785121,31.581971654691557@74.35068221230321,31.581928778970138

